Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
509,under 20,male,Hardware engineering,contract,1-5,hybrid,5,5,1,1,1,3,1,1,3,4,4,1,Highly Stressed
510,31-40,female,IT Services,full-time,less than 1 year,Office-based,1,1,1,1,1,3,5,1,4,3,2,5,Highly Stressed
511,41-50,male,Cyber Security,part-time,16-20,hybrid,5,5,2,4,5,4,4,1,1,2,1,5,Healthy
512,under 20,male,Cyber Security,contract,1-5,hybrid,3,1,2,1,1,3,5,4,1,2,1,4,Mildly Stressed
513,41-50,male,IT Services,full-time,6-10,Office-based,4,5,3,2,1,2,5,5,3,4,1,1,Mildly Stressed
514,41-50,male,Software development,full-time,1-5,hybrid,3,5,5,2,2,3,1,5,4,3,1,1,Mildly Stressed
515,31-40,male,Hardware engineering,part-time,1-5,Office-based,2,5,4,3,1,1,2,5,5,2,3,4,Healthy
516,21-30,female,Hardware engineering,contract,6-10,Office-based,5,1,3,1,3,1,3,4,4,4,2,4,Highly Stressed
517,51-60,male,Cyber Security,full-time,6-10,Office-based,5,3,1,5,1,4,4,1,4,3,2,4,Mildly Stressed
518,51-60,female,Hardware engineering,part-time,1-5,Office-based,5,1,5,5,5,2,4,1,1,3,3,2,Mildly Stressed
519,31-40,female,IT Services,contract,6-10,Office-based,5,3,5,4,4,4,4,2,2,4,1,4,Highly Stressed
520,41-50,male,Software development,part-time,less than 1 year,remote,1,2,2,3,2,1,3,4,5,3,5,3,Mildly Stressed
521,under 20,male,IT Services,part-time,6-10,remote,1,2,5,5,3,2,2,3,5,5,5,5,Mildly Stressed
522,41-50,female,Other,full-time,6-10,Office-based,4,1,5,4,4,3,5,4,1,2,3,4,Mildly Stressed
523,31-40,female,Cyber Security,full-time,1-5,remote,5,3,1,1,3,2,4,2,4,2,5,2,Highly Stressed
524,51-60,female,Hardware engineering,full-time,less than 1 year,remote,2,3,3,3,2,5,5,2,1,3,4,3,Highly Stressed
525,41-50,male,Other,part-time,11-15,hybrid,4,3,5,3,5,2,1,2,4,4,2,2,Mildly Stressed
526,51-60,female,Hardware engineering,full-time,11-15,Office-based,5,2,2,2,2,3,1,1,2,1,5,2,Highly Stressed
527,under 20,male,Software development,part-time,16-20,remote,1,1,3,1,3,5,1,3,2,3,4,2,Mildly Stressed
528,51-60,male,Software development,part-time,6-10,hybrid,2,4,2,3,3,4,4,2,3,1,2,2,Mildly Stressed
529,51-60,male,Software development,full-time,6-10,hybrid,4,3,5,4,2,2,3,5,4,3,4,1,Highly Stressed
530,21-30,female,Hardware engineering,contract,less than 1 year,Office-based,2,3,3,5,1,4,4,1,1,1,2,5,Healthy
531,21-30,male,Other,contract,11-15,Office-based,5,4,5,1,2,2,1,3,1,3,2,1,Mildly Stressed
532,21-30,male,Software development,contract,16-20,hybrid,3,1,1,1,5,1,1,5,1,4,5,3,Healthy
533,51-60,male,Other,part-time,less than 1 year,Office-based,2,3,3,3,2,1,4,3,3,1,3,1,Mildly Stressed
534,31-40,male,Hardware engineering,part-time,6-10,Office-based,2,1,2,3,4,3,3,3,5,5,5,3,Highly Stressed
535,51-60,male,Other,part-time,11-15,hybrid,1,3,1,3,1,1,3,5,1,4,1,4,Healthy
536,31-40,female,Hardware engineering,full-time,16-20,hybrid,5,5,4,4,4,5,5,4,2,3,4,3,Mildly Stressed
537,31-40,male,Hardware engineering,part-time,1-5,Office-based,2,3,2,2,2,5,2,3,1,1,1,1,Healthy
538,21-30,male,Cyber Security,full-time,11-15,remote,5,5,5,3,1,2,1,4,1,2,2,1,Mildly Stressed
539,41-50,female,Hardware engineering,full-time,16-20,Office-based,1,1,2,2,4,4,3,3,1,4,5,3,Mildly Stressed
540,under 20,male,Hardware engineering,contract,less than 1 year,remote,5,3,4,2,4,5,1,5,5,1,1,1,Mildly Stressed
541,21-30,female,IT Services,contract,1-5,hybrid,1,2,2,1,1,2,2,3,1,4,1,3,Healthy
542,21-30,male,Software development,contract,16-20,remote,1,2,1,5,1,4,1,2,5,1,1,2,Healthy
543,41-50,female,Cyber Security,full-time,16-20,hybrid,4,4,2,5,3,1,3,2,5,2,2,5,Healthy
544,under 20,female,Cyber Security,full-time,6-10,Office-based,5,2,3,4,1,2,5,3,3,5,2,3,Highly Stressed
545,51-60,male,Cyber Security,full-time,11-15,Office-based,3,5,4,4,2,4,4,5,2,2,2,2,Healthy
546,51-60,male,IT Services,part-time,6-10,hybrid,4,2,2,5,5,3,4,5,1,3,1,2,Healthy
547,21-30,male,Hardware engineering,full-time,1-5,hybrid,1,2,4,5,3,3,3,1,1,4,4,2,Mildly Stressed
548,under 20,female,Software development,contract,16-20,hybrid,3,2,1,1,1,5,3,5,1,5,5,2,Highly Stressed
549,21-30,female,Other,contract,6-10,Office-based,2,3,3,1,5,4,2,4,5,4,5,3,Mildly Stressed
550,31-40,female,Hardware engineering,full-time,11-15,Office-based,2,4,5,5,3,3,1,3,4,1,2,1,Healthy
551,21-30,male,IT Services,full-time,1-5,remote,4,1,2,3,2,5,2,2,2,3,1,2,Mildly Stressed
552,21-30,female,Hardware engineering,contract,less than 1 year,hybrid,3,4,1,3,5,2,4,5,1,3,4,4,Healthy
553,51-60,female,Hardware engineering,full-time,6-10,remote,5,5,4,1,1,2,1,2,4,4,3,2,Highly Stressed
554,51-60,male,IT Services,contract,1-5,Office-based,3,3,4,2,1,4,2,1,4,3,2,1,Highly Stressed
555,51-60,female,Cyber Security,part-time,less than 1 year,remote,4,3,1,5,2,4,4,3,4,4,3,1,Mildly Stressed
556,31-40,female,Cyber Security,contract,6-10,remote,5,2,2,4,3,4,1,5,2,1,5,5,Healthy
557,51-60,male,Software development,part-time,1-5,Office-based,5,2,5,3,5,4,5,2,4,1,5,5,Highly Stressed
558,under 20,female,Software development,full-time,1-5,Office-based,2,5,2,2,2,3,5,5,1,4,4,2,Mildly Stressed
559,41-50,male,Cyber Security,full-time,6-10,hybrid,3,3,3,3,3,3,2,1,1,2,4,2,Mildly Stressed
560,under 20,male,Other,part-time,1-5,remote,5,1,2,2,4,5,3,2,3,2,3,5,Highly Stressed
561,under 20,male,Hardware engineering,full-time,16-20,Office-based,4,4,3,5,4,3,1,2,5,1,5,2,Mildly Stressed
562,51-60,male,Other,part-time,6-10,Office-based,2,3,4,5,3,2,2,3,4,5,4,4,Mildly Stressed
563,41-50,male,Hardware engineering,full-time,1-5,remote,5,1,3,5,1,5,3,3,5,2,4,3,Highly Stressed
564,41-50,female,Cyber Security,contract,less than 1 year,Office-based,3,1,5,1,1,3,3,2,5,4,5,5,Burned Out
565,41-50,female,Software development,full-time,less than 1 year,hybrid,2,4,1,2,4,4,1,3,5,1,5,5,Healthy
566,31-40,male,Software development,contract,16-20,hybrid,3,1,3,4,1,3,1,2,5,3,1,1,Highly Stressed
567,51-60,male,Other,contract,6-10,remote,3,5,2,4,1,1,3,4,5,3,4,2,Mildly Stressed
568,41-50,female,Software development,part-time,1-5,hybrid,3,1,3,5,3,5,4,5,1,2,3,5,Healthy
569,31-40,male,Cyber Security,full-time,1-5,Office-based,2,5,4,4,3,3,2,4,2,5,2,5,Healthy
570,21-30,male,Other,part-time,less than 1 year,Office-based,5,1,3,3,1,3,1,4,4,2,2,4,Mildly Stressed
571,21-30,male,Hardware engineering,full-time,16-20,Office-based,1,2,5,2,3,2,3,5,4,5,5,2,Highly Stressed
572,31-40,female,Software development,contract,less than 1 year,Office-based,5,1,3,2,5,4,4,2,1,2,3,3,Mildly Stressed
573,31-40,female,IT Services,contract,less than 1 year,remote,2,5,5,2,4,4,5,2,1,3,1,4,Healthy
574,51-60,male,Software development,full-time,16-20,hybrid,1,1,2,3,5,2,3,3,5,5,4,3,Mildly Stressed
575,51-60,male,Hardware engineering,full-time,6-10,hybrid,1,1,4,1,5,2,4,1,2,3,1,1,Mildly Stressed
576,21-30,female,Other,part-time,1-5,Office-based,1,1,1,3,1,1,5,2,4,4,3,5,Mildly Stressed
577,41-50,female,Hardware engineering,full-time,6-10,remote,4,5,2,2,1,5,4,5,3,4,1,4,Mildly Stressed
578,21-30,male,IT Services,full-time,11-15,Office-based,2,1,2,2,5,4,1,1,1,1,5,3,Mildly Stressed
579,41-50,male,Cyber Security,full-time,11-15,Office-based,4,4,1,2,5,2,3,5,3,3,2,2,Healthy
580,41-50,female,Software development,part-time,11-15,remote,1,4,3,4,2,2,5,5,4,3,5,1,Mildly Stressed
581,51-60,female,Other,full-time,16-20,remote,4,5,3,1,2,5,4,5,1,1,4,1,Mildly Stressed
582,under 20,female,Cyber Security,contract,less than 1 year,Office-based,4,2,3,3,4,2,5,1,4,4,5,5,Highly Stressed
583,under 20,male,Hardware engineering,part-time,6-10,hybrid,2,4,4,2,5,1,2,4,1,4,3,5,Healthy
584,31-40,female,Other,part-time,1-5,Office-based,3,3,2,5,3,5,3,5,4,5,3,3,Mildly Stressed
585,51-60,male,Cyber Security,contract,11-15,hybrid,4,4,5,1,2,1,1,3,3,5,4,3,Highly Stressed
586,41-50,female,Other,contract,6-10,hybrid,4,3,1,5,1,3,5,2,2,4,4,1,Highly Stressed
587,under 20,female,IT Services,contract,11-15,remote,1,5,2,1,5,4,4,2,1,2,2,3,Healthy
588,41-50,female,IT Services,full-time,11-15,remote,1,2,3,2,3,2,5,2,3,3,1,5,Mildly Stressed
589,under 20,female,Software development,contract,1-5,Office-based,1,3,1,1,3,5,4,1,4,5,2,1,Highly Stressed
590,under 20,male,Software development,full-time,16-20,hybrid,5,3,5,1,3,1,5,3,3,2,5,1,Burned out
591,under 20,male,IT Services,part-time,less than 1 year,hybrid,4,4,2,2,1,4,1,3,1,5,1,2,Mildly Stressed
592,51-60,female,Other,part-time,16-20,Office-based,1,3,2,5,2,4,1,3,3,1,4,2,Healthy
593,21-30,male,IT Services,contract,6-10,Office-based,2,5,4,5,3,2,3,3,4,3,3,3,Healthy
594,41-50,female,Software development,full-time,16-20,Office-based,5,5,2,4,2,4,1,3,5,5,5,3,Highly Stressed
595,51-60,female,IT Services,contract,6-10,remote,3,5,2,5,4,2,5,4,2,4,2,5,Healthy
596,51-60,female,IT Services,contract,6-10,Office-based,4,4,5,5,1,3,5,3,2,1,4,5,Mildly Stressed
597,51-60,female,Other,full-time,less than 1 year,Office-based,4,2,5,1,2,2,1,3,5,1,1,2,Mildly Stressed
598,51-60,male,Cyber Security,contract,1-5,hybrid,2,4,1,4,2,1,2,1,1,4,1,1,Healthy
599,51-60,female,Software development,part-time,less than 1 year,Office-based,3,5,3,2,3,4,5,1,3,1,3,4,Mildly Stressed
600,31-40,female,Other,contract,16-20,hybrid,3,4,5,2,3,4,3,3,3,3,4,4,Mildly Stressed
601,41-50,male,IT Services,full-time,6-10,hybrid,5,5,1,3,1,4,2,4,5,5,4,3,Highly Stressed
602,51-60,female,IT Services,full-time,11-15,remote,4,1,2,4,2,2,1,3,5,1,5,4,Mildly Stressed
603,41-50,female,Cyber Security,part-time,11-15,Office-based,1,1,1,1,5,5,4,3,4,3,5,4,Mildly Stressed
604,31-40,female,Software development,full-time,6-10,Office-based,2,3,1,3,3,2,5,3,4,4,1,2,Mildly Stressed
605,31-40,male,Software development,full-time,less than 1 year,hybrid,2,2,1,3,3,1,4,5,2,5,2,1,Healthy
606,41-50,female,Hardware engineering,part-time,1-5,remote,2,1,1,2,4,2,3,4,1,4,1,5,Healthy
607,under 20,male,Software development,contract,less than 1 year,remote,2,5,5,5,1,4,2,2,1,5,5,2,Mildly Stressed
608,21-30,female,Cyber Security,part-time,6-10,Office-based,1,4,3,1,2,3,4,3,5,1,5,5,Mildly Stressed
609,under 20,female,Hardware engineering,contract,6-10,hybrid,1,4,1,4,2,1,3,2,2,1,5,2,Healthy
610,under 20,male,Hardware engineering,part-time,1-5,Office-based,5,3,4,3,2,3,4,4,2,5,1,2,Mildly Stressed
611,under 20,female,IT Services,contract,16-20,Office-based,4,4,2,1,3,1,4,3,4,3,4,4,Mildly Stressed
612,51-60,female,IT Services,part-time,16-20,Office-based,1,1,2,2,1,1,3,2,3,3,2,5,Mildly Stressed
613,31-40,male,Software development,contract,1-5,Office-based,5,4,2,3,2,4,5,2,1,3,2,2,Mildly Stressed
614,under 20,male,Hardware engineering,part-time,16-20,hybrid,3,1,2,3,5,2,4,4,2,2,5,4,Healthy
615,31-40,male,IT Services,contract,11-15,remote,4,1,2,2,4,4,3,3,4,3,3,3,Highly Stressed
616,41-50,male,Cyber Security,part-time,16-20,Office-based,1,2,1,2,4,4,4,5,4,1,1,5,Healthy
617,21-30,male,IT Services,full-time,16-20,Office-based,3,3,3,2,2,4,5,4,4,2,4,2,Highly Stressed
618,41-50,female,IT Services,contract,16-20,Office-based,5,5,4,1,3,3,3,5,3,3,5,3,Mildly Stressed
619,41-50,male,Hardware engineering,part-time,11-15,Office-based,1,1,5,1,4,1,4,3,2,1,3,4,Mildly Stressed
620,51-60,female,Hardware engineering,contract,16-20,remote,1,3,4,1,4,5,1,2,5,2,5,2,Highly Stressed
621,21-30,female,Other,contract,11-15,remote,3,5,5,5,4,2,5,4,5,1,3,4,Healthy
622,41-50,female,Cyber Security,part-time,1-5,remote,1,4,5,3,4,4,4,4,4,5,2,4,Mildly Stressed
623,41-50,male,Hardware engineering,contract,less than 1 year,remote,2,3,4,1,2,1,2,4,4,1,3,4,Healthy
624,21-30,male,Software development,part-time,1-5,Office-based,1,3,1,5,1,2,3,1,3,2,2,5,Healthy
625,21-30,female,Cyber Security,full-time,less than 1 year,hybrid,4,3,2,3,1,5,4,3,4,3,2,3,Highly Stressed
626,41-50,male,Cyber Security,contract,1-5,remote,3,4,1,1,3,5,5,1,2,2,1,3,Mildly Stressed
627,21-30,male,Hardware engineering,full-time,less than 1 year,remote,4,4,2,2,5,4,5,4,4,3,3,1,Mildly Stressed
628,41-50,male,Cyber Security,contract,less than 1 year,Office-based,5,3,3,4,1,5,2,4,4,3,4,2,Highly Stressed
629,41-50,male,Hardware engineering,contract,6-10,Office-based,4,2,5,1,5,5,2,5,2,4,4,4,Highly Stressed
630,51-60,female,IT Services,contract,less than 1 year,Office-based,2,1,4,4,1,2,4,1,1,5,3,2,Highly Stressed
631,under 20,female,Other,part-time,less than 1 year,Office-based,2,4,3,1,1,2,1,2,5,4,1,3,Mildly Stressed
632,41-50,male,IT Services,full-time,6-10,hybrid,4,2,2,2,3,4,5,3,4,2,4,3,Highly Stressed
633,31-40,female,Hardware engineering,contract,16-20,hybrid,5,4,1,4,4,1,1,2,2,4,5,4,Healthy
634,under 20,male,Hardware engineering,part-time,16-20,remote,1,3,4,5,3,4,1,2,5,3,4,5,Mildly Stressed
635,under 20,male,IT Services,contract,6-10,hybrid,2,2,5,2,1,3,4,3,3,2,1,4,Mildly Stressed
636,under 20,female,Software development,part-time,11-15,remote,4,5,3,4,4,5,3,4,1,4,2,4,Healthy
637,51-60,female,Software development,contract,less than 1 year,remote,4,1,5,4,4,1,3,5,4,1,2,1,Mildly Stressed
638,41-50,female,Software development,full-time,less than 1 year,hybrid,4,1,2,2,4,2,3,4,1,5,2,5,Healthy
639,51-60,male,Hardware engineering,full-time,6-10,remote,1,4,5,2,5,3,2,4,4,1,1,2,Healthy
640,41-50,female,Cyber Security,contract,6-10,Office-based,3,1,1,2,1,3,5,1,4,2,2,5,Highly Stressed
641,51-60,male,Hardware engineering,part-time,11-15,remote,5,5,3,3,2,5,2,2,4,4,2,4,Mildly Stressed
642,51-60,female,Cyber Security,contract,16-20,Office-based,3,2,3,5,3,2,5,2,1,3,1,4,Healthy
643,31-40,female,IT Services,part-time,1-5,hybrid,5,2,1,1,5,1,5,2,3,4,5,4,Highly Stressed
644,51-60,male,Other,contract,16-20,hybrid,5,3,5,4,3,2,5,5,2,2,4,4,Mildly Stressed
645,21-30,male,Cyber Security,part-time,less than 1 year,remote,4,2,1,1,2,5,4,5,2,2,1,4,Mildly Stressed
646,31-40,male,Software development,full-time,6-10,Office-based,2,4,4,2,4,3,3,5,3,2,1,5,Healthy
647,51-60,male,Hardware engineering,contract,11-15,remote,4,5,1,5,2,5,2,3,3,2,3,4,Healthy
648,under 20,male,IT Services,full-time,16-20,hybrid,1,3,5,5,3,4,2,5,4,4,2,3,Healthy
649,21-30,male,Software development,full-time,11-15,remote,5,4,1,3,2,3,4,1,4,1,5,3,Highly Stressed
650,21-30,male,IT Services,contract,16-20,remote,2,4,2,2,1,5,5,1,2,3,3,1,Highly Stressed
651,21-30,male,Other,contract,less than 1 year,Office-based,5,4,1,4,2,1,3,4,4,3,5,2,Mildly Stressed
652,31-40,female,Hardware engineering,part-time,1-5,hybrid,5,1,1,3,1,1,1,4,4,5,2,3,Mildly Stressed
653,51-60,male,Hardware engineering,part-time,11-15,remote,4,4,5,2,2,1,1,4,3,2,2,1,Mildly Stressed
654,51-60,male,Other,full-time,11-15,Office-based,2,1,4,3,1,4,4,4,1,2,2,5,Mildly Stressed
655,under 20,female,Hardware engineering,part-time,1-5,remote,2,2,4,1,1,2,3,1,5,2,4,2,Highly Stressed
656,under 20,male,Cyber Security,part-time,11-15,Office-based,5,1,5,2,2,1,1,4,5,1,5,4,Highly Stressed
657,21-30,female,IT Services,contract,11-15,Office-based,2,4,5,4,5,4,1,1,4,2,5,4,Mildly Stressed
658,under 20,female,Software development,part-time,16-20,remote,2,5,5,4,4,1,2,5,4,5,3,5,Healthy
659,31-40,male,Other,full-time,16-20,hybrid,4,5,2,2,4,4,3,5,5,5,1,2,Mildly Stressed
660,51-60,female,Cyber Security,part-time,1-5,hybrid,3,2,3,3,4,1,1,3,3,1,2,3,Healthy
661,21-30,male,Software development,full-time,less than 1 year,Office-based,1,4,1,5,1,2,2,4,5,2,2,2,Healthy
662,under 20,female,Software development,contract,11-15,hybrid,3,1,5,2,4,5,3,5,5,4,3,1,Highly Stressed
663,31-40,female,Other,full-time,less than 1 year,Office-based,2,5,5,4,1,1,5,5,5,4,5,5,Mildly Stressed
664,31-40,female,Cyber Security,part-time,1-5,hybrid,5,3,5,1,5,5,3,2,4,3,4,3,Highly Stressed
665,under 20,male,Software development,contract,1-5,remote,1,4,4,4,2,1,4,2,4,1,5,2,Mildly Stressed
666,51-60,male,Software development,part-time,16-20,hybrid,1,4,5,5,2,2,2,1,5,4,4,2,Mildly Stressed
667,under 20,female,Cyber Security,contract,11-15,Office-based,5,3,1,4,1,5,5,3,4,3,4,3,Highly Stressed
668,21-30,female,Hardware engineering,contract,6-10,Office-based,1,5,5,5,1,4,2,2,5,5,5,1,Highly Stressed
669,under 20,male,Software development,part-time,1-5,hybrid,5,3,1,2,5,1,2,3,3,3,2,1,Healthy
670,31-40,male,IT Services,part-time,11-15,remote,1,2,2,4,4,1,1,5,4,2,4,2,Healthy
671,under 20,female,Cyber Security,contract,less than 1 year,Office-based,3,1,3,3,5,4,3,1,1,2,3,4,Mildly Stressed
672,51-60,female,Software development,contract,16-20,Office-based,1,1,4,3,2,2,2,3,4,5,3,3,Mildly Stressed
673,41-50,male,Other,part-time,less than 1 year,Office-based,4,5,1,4,2,3,2,2,3,1,4,1,Healthy
674,under 20,male,IT Services,full-time,1-5,Office-based,5,3,2,4,4,1,4,5,3,2,2,1,Healthy
675,51-60,male,Software development,part-time,1-5,Office-based,1,4,3,1,2,4,4,4,4,2,4,1,Highly Stressed
676,51-60,male,IT Services,contract,less than 1 year,remote,5,4,3,4,1,3,4,5,2,3,3,5,Mildly Stressed
677,31-40,male,IT Services,part-time,1-5,hybrid,4,4,3,1,2,1,2,2,5,3,3,4,Mildly Stressed
678,51-60,female,Hardware engineering,full-time,11-15,remote,1,2,1,1,3,5,5,2,5,3,5,1,Highly Stressed
679,51-60,male,IT Services,part-time,1-5,remote,1,2,2,1,4,4,3,4,3,4,2,4,Mildly Stressed
680,51-60,female,Hardware engineering,contract,16-20,Office-based,4,4,5,1,4,5,2,5,4,5,5,2,Highly Stressed
681,51-60,male,Cyber Security,part-time,11-15,remote,4,5,2,2,4,2,1,3,2,1,1,2,Healthy
682,21-30,female,Hardware engineering,contract,6-10,Office-based,4,2,2,3,3,3,5,3,1,3,4,5,Mildly Stressed
683,21-30,male,Other,contract,1-5,remote,5,2,2,1,5,4,5,5,5,1,5,4,Highly Stressed
684,31-40,male,Software development,part-time,1-5,Office-based,4,1,1,3,1,1,3,3,2,3,2,3,Mildly Stressed
685,under 20,female,Cyber Security,contract,16-20,Office-based,5,1,1,1,4,1,5,5,5,2,4,5,Mildly Stressed
686,51-60,female,Cyber Security,contract,16-20,remote,3,5,1,3,2,3,3,5,4,1,4,1,Healthy
687,under 20,male,Other,full-time,less than 1 year,remote,1,2,2,4,1,5,5,2,5,4,4,2,Highly Stressed
688,under 20,male,Hardware engineering,full-time,less than 1 year,hybrid,1,2,1,4,2,5,3,1,1,3,4,2,Mildly Stressed
689,31-40,male,Software development,full-time,less than 1 year,hybrid,2,3,3,3,1,4,4,2,4,5,4,3,Highly Stressed
690,51-60,male,Hardware engineering,full-time,16-20,hybrid,3,5,1,1,1,4,4,3,3,2,2,5,Healthy
691,51-60,male,IT Services,contract,less than 1 year,remote,4,5,4,2,2,5,5,1,2,3,1,4,Highly Stressed
692,41-50,female,Hardware engineering,part-time,less than 1 year,remote,4,3,1,3,2,4,5,5,5,1,3,2,Mildly Stressed
693,under 20,female,Cyber Security,contract,6-10,Office-based,3,3,1,5,1,5,3,3,4,3,1,1,Mildly Stressed
694,under 20,male,Software development,contract,less than 1 year,hybrid,4,1,1,2,4,3,3,4,4,2,3,3,Mildly Stressed
695,21-30,female,Hardware engineering,contract,1-5,Office-based,2,5,1,5,2,4,2,3,5,5,5,3,Mildly Stressed
696,41-50,female,Software development,part-time,16-20,Office-based,5,5,4,3,3,5,4,1,3,5,4,3,Highly Stressed
697,21-30,female,Software development,full-time,11-15,Office-based,1,3,5,1,3,4,2,1,5,5,5,1,Burned Out
698,21-30,male,IT Services,contract,6-10,Office-based,3,4,1,5,1,1,2,5,3,2,5,3,Healthy
699,21-30,female,IT Services,contract,16-20,hybrid,1,4,3,3,5,1,1,4,5,3,3,4,Healthy
700,31-40,male,Cyber Security,full-time,16-20,Office-based,5,1,4,2,1,2,3,5,4,2,2,4,Highly Stressed
701,31-40,female,Other,contract,1-5,remote,3,4,5,1,1,5,1,4,1,2,4,5,Mildly Stressed
702,21-30,male,Software development,part-time,less than 1 year,remote,5,4,1,5,4,2,1,4,1,3,5,5,Healthy
703,41-50,female,Other,contract,1-5,remote,4,4,5,3,4,5,2,5,4,4,1,4,Mildly Stressed
704,under 20,male,Cyber Security,contract,less than 1 year,hybrid,4,2,3,1,5,4,1,3,1,5,4,1,Mildly Stressed
705,41-50,male,Software development,full-time,less than 1 year,Office-based,4,1,4,1,5,5,3,2,3,1,2,5,Highly Stressed
706,51-60,female,Software development,contract,16-20,hybrid,5,3,4,4,5,1,2,4,4,1,4,3,Healthy
707,31-40,male,Other,contract,less than 1 year,Office-based,5,4,5,1,5,4,3,1,3,3,5,4,Highly Stressed
708,under 20,male,Hardware engineering,part-time,6-10,hybrid,5,2,1,3,5,1,5,5,4,1,1,2,Healthy
709,under 20,male,IT Services,full-time,6-10,hybrid,1,4,2,2,1,4,1,3,3,4,5,1,Mildly Stressed
710,51-60,male,Hardware engineering,full-time,6-10,Office-based,5,2,4,4,1,5,2,4,3,2,2,1,Highly Stressed
711,51-60,male,Other,part-time,16-20,hybrid,4,1,2,3,3,5,4,3,1,5,3,4,Highly Stressed
712,21-30,male,IT Services,contract,1-5,Office-based,2,4,4,3,3,1,3,5,4,1,1,2,Healthy
713,31-40,male,Hardware engineering,full-time,11-15,remote,5,2,1,3,2,3,1,1,5,1,2,1,Mildly Stressed
714,31-40,male,IT Services,full-time,less than 1 year,remote,2,5,1,5,1,5,3,4,1,3,2,5,Healthy
715,41-50,female,Software development,contract,11-15,remote,4,5,4,5,5,3,3,4,3,3,5,2,Mildly Stressed
716,21-30,female,Hardware engineering,contract,1-5,hybrid,5,2,5,2,2,4,5,3,3,2,5,3,Burned Out
717,21-30,male,IT Services,full-time,1-5,remote,1,4,1,3,4,3,3,5,5,5,5,5,Healthy
718,21-30,male,IT Services,contract,16-20,Office-based,1,4,1,5,1,1,5,2,5,1,3,2,Healthy
719,21-30,female,IT Services,full-time,6-10,remote,2,1,3,5,3,2,5,4,3,2,4,4,Mildly Stressed
720,31-40,female,Hardware engineering,contract,6-10,remote,1,1,1,5,1,2,5,1,5,5,4,1,Highly Stressed
721,31-40,female,Cyber Security,contract,1-5,hybrid,1,3,3,2,1,1,1,4,2,2,5,5,Healthy
722,21-30,male,Hardware engineering,part-time,16-20,Office-based,1,1,1,2,1,2,3,4,1,1,5,4,Healthy
723,41-50,female,Other,contract,16-20,hybrid,4,4,1,3,1,1,3,2,4,3,3,2,Mildly Stressed
724,under 20,male,Hardware engineering,part-time,less than 1 year,hybrid,1,3,5,4,4,5,5,2,5,3,4,3,Highly Stressed
725,under 20,male,IT Services,contract,6-10,Office-based,3,1,5,3,3,3,3,5,5,3,3,1,Highly Stressed
726,41-50,female,Software development,full-time,1-5,hybrid,5,2,1,5,1,2,3,4,2,4,2,1,Mildly Stressed
727,21-30,male,Hardware engineering,full-time,11-15,Office-based,1,5,4,5,4,5,5,4,4,2,4,5,Healthy
728,31-40,male,Hardware engineering,contract,6-10,remote,1,1,4,1,2,2,4,3,2,1,5,4,Highly Stressed
729,under 20,male,IT Services,contract,less than 1 year,Office-based,1,1,1,3,1,4,4,3,4,2,1,2,Mildly Stressed
730,51-60,male,Software development,full-time,16-20,Office-based,3,2,4,5,4,1,5,1,1,3,2,2,Mildly Stressed
731,51-60,female,Software development,contract,1-5,Office-based,1,4,1,5,5,1,1,1,5,2,1,4,Healthy
732,41-50,female,Other,part-time,6-10,hybrid,1,2,5,4,2,5,3,3,1,5,3,1,Mildly Stressed
733,21-30,male,Hardware engineering,part-time,11-15,Office-based,5,1,2,1,3,4,3,1,4,2,3,4,Highly Stressed
734,under 20,male,Software development,part-time,less than 1 year,Office-based,3,4,3,3,1,3,4,4,5,4,3,2,Highly Stressed
735,21-30,female,Software development,part-time,less than 1 year,Office-based,3,3,4,2,1,4,5,2,2,4,5,4,Burned out
736,under 20,male,Cyber Security,part-time,6-10,remote,1,1,4,3,4,4,1,4,3,3,3,1,Mildly Stressed
737,41-50,female,Cyber Security,contract,11-15,Office-based,3,2,5,3,3,3,5,3,2,1,1,5,Mildly Stressed
738,41-50,male,Software development,contract,less than 1 year,hybrid,2,3,4,4,5,3,4,5,3,5,2,1,Mildly Stressed
739,51-60,male,Other,part-time,1-5,Office-based,3,5,1,3,2,4,4,5,2,1,5,3,Healthy
740,21-30,female,Software development,contract,less than 1 year,Office-based,3,3,1,4,3,2,3,3,4,1,2,3,Healthy
741,51-60,female,IT Services,contract,11-15,remote,3,2,2,4,1,2,2,4,1,5,3,4,Mildly Stressed
742,21-30,female,Hardware engineering,part-time,16-20,Office-based,4,3,2,5,4,4,1,1,3,4,4,1,Mildly Stressed
743,51-60,female,Other,contract,16-20,hybrid,4,2,2,2,5,2,1,1,4,3,5,1,Mildly Stressed
744,31-40,male,IT Services,contract,6-10,Office-based,4,1,1,4,4,3,2,5,1,2,3,2,Healthy
745,31-40,female,Other,contract,11-15,hybrid,3,4,2,1,2,3,4,3,1,4,5,5,Mildly Stressed
